name,country,primary_fuel,commissioning_year
Bistrica 1,ALB,Hydro,1965.0
Fierza,ALB,Hydro,1978.0
Koman,ALB,Hydro,1985.0
Lanabregas,ALB,Hydro,1951.0
Shkopet,ALB,Hydro,1963.0
Ulez,ALB,Hydro,1958.0
Vau i Dijes,ALB,Hydro,1971.0
Annaba,DZA,Gas,2010.0
Arbaa,DZA,Gas,2010.0
Boufarik 1,DZA,Gas,1980.0
Boufarik 2,DZA,Gas,2016.0
Boutelilis,DZA,Gas,2016.0
Hadjret Ennous,DZA,Gas,2009.0
Hassi Messaoud Mobile,DZA,Gas,2013.0
Hassi Messoud,DZA,Gas,2015.0
Hassi Messoud Nord 2,DZA,Gas,1988.0
Ighil Emda,DZA,Hydro,1952.0
Koudiet Eddraouch,DZA,Gas,2013.0
Labreg,DZA,Gas,2015.0
Ravin Blanc,DZA,Gas,1974.0
Relizane,DZA,Gas,2010.0
SKB IPP,DZA,Gas,2007.0
SKS IPP SNC Lavalin,DZA,Gas,2006.0
SPP1 Thermal,DZA,Gas,2011.0
Skikda,DZA,Gas,1975.0
Terga,DZA,Gas,2013.0
Tilghemt 1,DZA,Gas,1980.0
Tilghemt 2,DZA,Gas,2016.0
McMurdo Station Generator,ATA,Oil,1981.0
AGUA DEL CAJON (AUTOGENERADOR DEL MEM),ARG,Other,1997.4
AGUA DEL CAJON (GENERADOR DEL MEM),ARG,Gas,1993.5
AGUA DEL TORO,ARG,Hydro,1982.0
ALICURA,ARG,Hydro,1987.0
ALTO VALLE,ARG,Gas,1969.0
ALVAREZ CONDARCO,ARG,Hydro,2003.0
ARROYITO,ARG,Hydro,1977.0
ATUCHA I,ARG,Nuclear,1974.0
ATUCHA II,ARG,Nuclear,2014.0
BENJAMIN REOLIN,ARG,Hydro,1966.0
CABRA CORRAL,ARG,Hydro,1978.0
CACHEUTA (NUEVA),ARG,Hydro,2002.0
CASA DE PIEDRA,ARG,Hydro,1996.0
CASSAFFOUSTH,ARG,Hydro,1953.0
CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,ARG,Coal,1990.0
CENTRAL LOMA DE LA LATA SA,ARG,Gas,1999.5
CENTRAL T.GENELBA,ARG,Gas,1997.7
CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),ARG,Gas,2013.0
CENTRAL TERMICA DE CICLO COMBINADO SALTA,ARG,Gas,1999.4
CENTRAL TERMICA GÜEMES SA,ARG,Coal,1993.3
CENTRAL TERMICA PIQUIRENDA SA,ARG,Oil,2010.0
CENTRAL TERMOELECTRICA MANUEL BELGRANO,ARG,Gas,2008.7
CENTRAL TERMOELECTRICA TIMBUES,ARG,Gas,2008.7
CH LOS CARACOLES,ARG,Hydro,2009.0
CIPOLLETTI,ARG,Hydro,1954.0
COMODORO RIVADAVIA,ARG,Gas,1990.0
COSTANERA,ARG,Coal,1983.9
CRUZ DE PIEDRA,ARG,Gas,1969.0
CRUZ DEL EJE,ARG,Oil,1943.0
CT INDEPENDENCIA,ARG,Gas,1995.0
CT PLUSPETROL NORTE,ARG,Gas,2002.5
CT ROCA,ARG,Gas,1995.0
CT SAN MIGUEL DE TUCUMAN,ARG,Gas,1999.5
CT TUCUMAN,ARG,Gas,1998.3
CUESTA DEL VIENTO,ARG,Hydro,1997.0
DEAN FUNES,ARG,Gas,1967.0
DIQUE,ARG,Gas,1969.0
DOCK SUD,ARG,Gas,1999.1
EL CADILLAL,ARG,Hydro,1966.0
EL CARRIZAL,ARG,Hydro,1971.0
EL CHOCON,ARG,Hydro,1975.5
EL TIGRE,ARG,Hydro,1989.0
EL TUNAL,ARG,Hydro,1972.0
EMBALSE,ARG,Nuclear,1984.0
ESCABA,ARG,Hydro,1956.0
FITZ SIMON,ARG,Hydro,1943.0
FLORENTINO AMEGHINO,ARG,Hydro,1963.0
FUTALEUFU,ARG,Hydro,1978.0
GENERACION FRIAS SA,ARG,Gas,2015.0
GENERAL SAN MARTIN,ARG,Hydro,1950.0
GUILLERMO CESPEDES,ARG,Hydro,1963.0
H. PICHI PICUN LEUFU,ARG,Hydro,1999.0
LA PLATA COGENERACION,ARG,Gas,1997.0
LA TABLADA,ARG,Gas,1969.0
LA VIÑA,ARG,Hydro,1958.0
LOS CORONELES (EX 25  DE MAYO),ARG,Hydro,1970.0
LOS MOLINOS I,ARG,Hydro,1957.0
LOS MOLINOS II,ARG,Hydro,1958.0
LOS QUIROGA,ARG,Hydro,1963.0
LOS REYUNOS,ARG,Hydro,1983.0
LUJAN DE CUYO,ARG,Gas,1988.1
MODESTO MARANZANA,ARG,Gas,2003.2
NECOCHEA,ARG,Coal,1968.6
NIHUIL I,ARG,Hydro,1957.0
NIHUIL II,ARG,Hydro,1968.0
NIHUIL III,ARG,Hydro,1972.0
NIHUIL IV,ARG,Hydro,1965.0
NUEVO PUERTO,ARG,Gas,1988.0
PARANA,ARG,Other,2001.0
PATAGONIA,ARG,Gas,2001.1
PIEDRA DEL AGUILA (CPSA),ARG,Hydro,1993.5
PIEDRAS MORAS,ARG,Hydro,1995.0
PILAR  BICENTENARIO,ARG,Gas,2010.3
PILAR ZANICHELLI,ARG,Coal,1971.3
PLANICIE BANDERITA,ARG,Hydro,1979.0
PUEBLO VIEJO,ARG,Hydro,1967.0
PUERTO NUEVO,ARG,Coal,1965.5
QUEBRADA DE ULLUM,ARG,Hydro,1981.0
RIO CORRALITO,ARG,Hydro,1962.0
RIO CUARTO,ARG,Gas,1974.5
RIO GRANDE,ARG,Hydro,1986.0
RIO HONDO,ARG,Hydro,1976.0
SALTO ANDERSEN,ARG,Hydro,2012.0
SALTO GRANDE (MITAD ARGENTINA),ARG,Hydro,1980.4
SAN FRANCISCO,ARG,Gas,1978.5
SAN NICOLAS,ARG,Coal,1965.4
SAN ROQUE,ARG,Hydro,1944.0
SORRENTO,ARG,Coal,1962.2
SUDOESTE,ARG,Gas,1981.0
TENARIS SIDERCA CETE II,ARG,Gas,1998.0
URUGUA-I,ARG,Hydro,1991.0
VILLA MARIA (LAS PLAYAS),ARG,Gas,1971.0
YACYRETA,ARG,Hydro,1995.6
Armenian-2,ARM,Nuclear,1980.0
New Yerevan,ARM,Gas,2010.0
Shamb,ARM,Hydro,1978.0
Spandaryan,ARM,Hydro,1989.0
Tatev,ARM,Hydro,1970.0
Abwinden-Asten,AUT,Hydro,1980.0
Altenmarkt,AUT,Hydro,1960.0
Arnstein,AUT,Hydro,1925.0
Aschach,AUT,Hydro,1964.0
Bischofshofen,AUT,Hydro,1986.0
Braunau-Simbach,AUT,Hydro,1954.0
Dionysen,AUT,Hydro,1949.0
Donaustadt,AUT,Gas,2001.0
Ering-Frauenstein,AUT,Hydro,1943.0
Erzbach,AUT,Hydro,1986.0
Feistritz-Ludmannsdorf,AUT,Hydro,1968.0
Feldkirchen,AUT,Hydro,1970.0
Ferlach Maria Rain,AUT,Hydro,1975.0
Fisching,AUT,Hydro,1994.0
Freudenau Danube,AUT,Hydro,1998.0
Friesach,AUT,Hydro,1998.0
Funsingau,AUT,Hydro,1968.0
Gabersdorf,AUT,Hydro,1974.0
Gaming,AUT,Hydro,1926.0
Gerlos,AUT,Hydro,1949.0
Greifenstein,AUT,Hydro,1985.0
Hieflau-Erzbach,AUT,Hydro,1956.0
Jochenstein,AUT,Hydro,1956.0
KW Amlach,AUT,Hydro,1989.0
KW Imst,AUT,Hydro,1956.0
KW Jenbach,AUT,Hydro,1926.0
KW Kaunertal,AUT,Hydro,1964.0
KW Kühtai,AUT,Hydro,1981.0
KW Silz,AUT,Hydro,1981.0
Kaprun Limberg II,AUT,Hydro,2011.0
Kaprun Oberstufe,AUT,Hydro,1956.0
Kaprun main stage,AUT,Hydro,1953.0
Kellerberg,AUT,Hydro,1985.0
Klammsee,AUT,Hydro,1947.0
Klaus,AUT,Hydro,1975.0
Kopswerk II,AUT,Hydro,2008.0
Kreuzbergmaut,AUT,Hydro,1996.0
Kreuzeck days storage,AUT,Hydro,1960.0
Krippau,AUT,Hydro,1965.0
Landl,AUT,Hydro,1967.0
Laufnitzdorf,AUT,Hydro,1931.0
Lebring,AUT,Hydro,1988.0
Leoben,AUT,Hydro,2005.0
Losenstein,AUT,Hydro,1962.0
Lünerseewerk,AUT,Hydro,1958.0
Malta Secondary school,AUT,Hydro,1979.0
Malta main stage,AUT,Hydro,1979.0
Mandling,AUT,Hydro,1985.0
Mayrhofen,AUT,Hydro,1977.0
Melk,AUT,Hydro,1982.0
Mellach run power plant,AUT,Hydro,1985.0
Neuötting,AUT,Hydro,1951.0
Niklai,AUT,Hydro,1960.0
Nussdorf near Vienna,AUT,Hydro,2005.0
Oberaudorf Ebbs,AUT,Hydro,1992.0
Obervermuntwerk,AUT,Hydro,1943.0
Obervogau,AUT,Hydro,1978.0
Ottensheim-Wilhering,AUT,Hydro,1975.0
Passau-Ingling,AUT,Hydro,1966.0
Paternion,AUT,Hydro,1988.0
Peggau,AUT,Hydro,1965.0
Pernegg,AUT,Hydro,2013.0
Pichlern,AUT,Hydro,2005.0
Rabenstein,AUT,Hydro,1987.0
Retznei,AUT,Hydro,1992.0
Rodundwerk II,AUT,Hydro,1976.0
Rosegg-St. James,AUT,Hydro,1974.0
Rosenau,AUT,Hydro,1953.0
Schonau,AUT,Hydro,1972.0
Schwabeck,AUT,Hydro,1943.0
Schwarzach,AUT,Hydro,1960.0
Simmering,AUT,Gas,2009.0
St. Georgen,AUT,Hydro,1985.0
St. Johann,AUT,Hydro,1991.0
St. Martin,AUT,Hydro,1965.0
St. Pantaleon,AUT,Hydro,1966.0
St. Veit,AUT,Hydro,1989.0
Staning,AUT,Hydro,1946.0
Steinfeld,AUT,Hydro,1963.0
Ternberg,AUT,Hydro,1949.0
Timelkam,AUT,Gas,2008.0
Triebenbach,AUT,Hydro,1995.0
Tuxbach,AUT,Hydro,1930.0
Urreiting,AUT,Hydro,1986.0
Vienna-Freudenau,AUT,Hydro,1999.0
Villach,AUT,Hydro,1984.0
Walgauwerk,AUT,Hydro,1984.0
Wallnerau Salzach stage,AUT,Hydro,1990.0
Wallnerau underwater stage,AUT,Hydro,1989.0
Wallsee-Mitterkirchen,AUT,Hydro,1969.0
Weissenegg,AUT,Hydro,1985.0
Werfen-Pfarrwerfen,AUT,Hydro,2009.0
Weyer,AUT,Hydro,1969.0
Wind Park Bruck an der Leitha,AUT,Wind,2000.0
Wind Park Hollern II,AUT,Wind,2014.0
Windpark Bruck-Göttlesbrunn,AUT,Wind,2015.0
Ybbs-Persenbeug,AUT,Hydro,1960.0
Astara ES,AZE,Gas,2006.0
Baku ES,AZE,Gas,2007.0
Baku TEC,AZE,Gas,2000.0
Gusar,AZE,Hydro,2012.0
Janub,AZE,Gas,2013.0
Khachmaz ES,AZE,Gas,2006.0
Mingechevir,AZE,Hydro,1953.0
Sangachal ES,AZE,Gas,2008.0
Shimal,AZE,Gas,2002.0
Sumqayit,AZE,Gas,2009.0
Varvara,AZE,Hydro,1957.0
Yenikend,AZE,Hydro,2000.0
Al Dur Power and Water,BHR,Gas,2012.0
Al Ezzel Power Station,BHR,Gas,2007.0
Hawar Power ad Water Station,BHR,Oil,1985.0
Hidd Power and Water station 1,BHR,Gas,1999.0
Amnura,BGD,Oil,2011.0
Baghabari GT 1,BGD,Gas,1999.0
Barabkunda (Regent),BGD,Oil,2016.0
Barishal GT-unit-1 2,BGD,Gas,1987.0
Bera Peaking,BGD,Oil,2011.0
Bheramara GT (Unit-1 2 3),BGD,Oil,1976.0
Bhola CCPP GT-1 2 ST,BGD,Gas,2009.0
Bogra GBB,BGD,Gas,2009.0
Feni (Doreen),BGD,Gas,2009.0
Ghorasal ST :Unit-3,BGD,Gas,1986.0
Hathazari,BGD,Oil,2012.0
Horippur Power CCPP,BGD,Gas,2008.0
Jangalia (Summit),BGD,Gas,2009.0
Jhulda,BGD,Oil,2012.0
Kaptai Hydro:Unit-1 2 3 4 5,BGD,Hydro,1962.0
Karanigonj (Powerpac),BGD,Oil,2012.0
Meghnaghat CCPP,BGD,Gas,2002.0
Noapara (khanjahan ali),BGD,Oil,2011.0
Rangpur GT,BGD,Oil,1988.0
Shiddirganj ST,BGD,Gas,2012.0
Ullapara (Summit),BGD,Gas,2009.0
AWIRS 4,BEL,Biomass,2005.0
Amercoeur 1 R TGV,BEL,Gas,1994.0
Belwind Phase 1,BEL,Wind,2010.0
DOEL 4,BEL,Nuclear,1985.0
HAM-GENT WKK,BEL,Gas,2006.0
HERDERSBRUG STEG,BEL,Gas,1998.0
LANGERLO 1,BEL,Coal,1968.0
Marcinelle Energie (Carsid),BEL,Gas,2011.0
Northwind,BEL,Wind,2013.0
RINGVAART STEG,BEL,Gas,1998.0
SAINT-GHISLAIN STEG,BEL,Gas,2000.0
T-power Beringen,BEL,Gas,2011.0
TIHANGE 1N,BEL,Nuclear,1975.0
TIHANGE 3,BEL,Nuclear,1985.0
Thorntonbank - C-Power - Area SW,BEL,Wind,2013.0
Zelzate 2 Knippegroen,BEL,Gas,2010.0
14 de Julho,BRA,Hydro,2008.0
3M Sumaré,BRA,Oil,2001.0
AJ Rorato,BRA,Oil,2012.0
ALLIANZ PARQUE,BRA,Oil,2014.0
ANHANGUERA EDUCACIONAL SA - CAMPO GRANDE,BRA,Oil,2013.0
AREVALE,BRA,Biomass,2014.0
ARS,BRA,Hydro,2009.0
AVG I-II,BRA,Biomass,2009.0
Abatedouro São Salvador,BRA,Oil,2002.0
Abranjo I,BRA,Hydro,2014.0
Abrasa,BRA,Hydro,1965.0
Abunã,BRA,Oil,2008.0
Adriana Agrícola,BRA,Oil,2010.0
Aeroporto Internacional Eduardo Gomes,BRA,Oil,1976.0
Aeroporto Internacional Pinto Martins - Terminal de Passageiros (TPS-1),BRA,Oil,1998.0
Aeroporto Internacional Salgado Filho,BRA,Oil,1993.0
Aeroporto Internacional Tancredo Neves,BRA,Oil,1984.0
Aeroporto Internacional de Brasília,BRA,Oil,1973.0
Aeroporto Internacional de Congonhas - São Paulo,BRA,Oil,1983.0
Aeroporto Internacional de Rio Branco,BRA,Oil,2001.0
Aeroporto Internacional de São Paulo/Guarulhos-Central Elétrica de Emergência CEE,BRA,Oil,1985.0
Aeroporto Internacional de Viracopos - Campinas,BRA,Oil,1978.0
Agostinho Rodrigues,BRA,Hydro,2016.0
Agro Trafo,BRA,Hydro,1992.0
Agropéu,BRA,Biomass,2016.0
Agrovale,BRA,Biomass,1979.0
Agudo,BRA,Hydro,2016.0
Aguti,BRA,Hydro,2011.0
Ahlstrom,BRA,Gas,2007.0
Aimorés,BRA,Hydro,2005.0
Ala Polo,BRA,Oil,2011.0
Albano Machado,BRA,Hydro,2011.0
Albatroz,BRA,Wind,2009.0
Alcoa Beneficiamento,BRA,Oil,2010.0
Alcoa Porto,BRA,Oil,2010.0
Alcon,BRA,Biomass,2001.0
Alcoolvale,BRA,Biomass,2002.0
Alecrim,BRA,Hydro,1974.0
Alegria I,BRA,Wind,2010.0
Alegria II,BRA,Wind,2011.0
Alhandra,BRA,Wind,2011.0
Almirante Álvaro Alberto - Unidade I (Antiga Angra I),BRA,Nuclear,1985.0
Almirante Álvaro Alberto - Unidade II (Antiga Angra II),BRA,Nuclear,2000.0
Alta Mogiana,BRA,Biomass,1994.0
Altero Design,BRA,Oil,2011.0
Alterosa,BRA,Oil,2009.0
Alto Benedito Novo I,BRA,Hydro,2008.0
Alto Brejaúba,BRA,Hydro,2015.0
Alto Fêmeas I,BRA,Hydro,1992.0
Alto Irani,BRA,Hydro,2008.0
Alto Paraguai (Pedro Pedrossian),BRA,Hydro,1970.0
Alto Sucuriú,BRA,Hydro,2008.0
Altos,BRA,Oil,2002.0
Alumar,BRA,Coal,2009.0
Alunorte,BRA,Coal,2007.0
Alvarães,BRA,Oil,2010.0
Alvorada,BRA,Biomass,2002.0
Alvorada,BRA,Wind,2014.0
Amador Aguiar I (Antiga Capim Branco I),BRA,Hydro,2006.0
Amador Aguiar II (Antiga Capim Branco II),BRA,Hydro,2007.0
Amandina,BRA,Biomass,2014.0
Amapá Garden Shopping,BRA,Oil,2013.0
Amaturá,BRA,Oil,2011.0
Americana,BRA,Hydro,1949.0
Ametista,BRA,Wind,2015.0
Amparo,BRA,Wind,2011.0
Anagé,BRA,Hydro,2013.0
Anamã,BRA,Gas,1985.0
Angelina (Antiga Portobello - Corredeira do Encano),BRA,Hydro,2010.0
Angical,BRA,Wind,2016.0
Angélica,BRA,Biomass,2009.0
Anhanguera,BRA,Hydro,2010.0
Anori,BRA,Gas,1985.0
Antônio Brennand (Antiga  Alto Jauru),BRA,Hydro,2002.0
Antônio Dias,BRA,Hydro,2015.0
Antônio Viel,BRA,Hydro,1959.0
Aparecida Parte I,BRA,Oil,1997.0
Aparecida Parte II,BRA,Oil,1997.0
Aparecida Parte III,BRA,Oil,1997.0
Apiacás,BRA,Oil,2006.0
Apiaí,BRA,Hydro,1951.0
Apolônio Sales (Antiga Moxotó),BRA,Hydro,1977.0
Aporé,BRA,Hydro,1977.0
Apuí,BRA,Oil,1998.0
Aquarius,BRA,Hydro,2006.0
Aquibatã,BRA,Wind,2011.0
Aracati,BRA,Oil,2002.0
Aracruz,BRA,Biomass,2002.0
Araras DPA,BRA,Oil,2015.0
Araras Nescafé,BRA,Oil,2015.0
Aratuá I,BRA,Wind,2012.0
Araucária,BRA,Gas,2002.0
Areal,BRA,Hydro,1949.0
Areal,BRA,Hydro,1988.0
Areia,BRA,Hydro,2011.0
Areia Branca,BRA,Wind,2014.0
Areia Branca,BRA,Hydro,2010.0
Arembepe (Antiga Camaçari Pólo de Apoio I),BRA,Oil,2010.0
Arizona 1,BRA,Wind,2013.0
Arroio Trinta,BRA,Hydro,2013.0
Arturo Andreoli (Antiga Júlio de Mesquita Filho),BRA,Hydro,2001.0
Arvoredo,BRA,Hydro,2010.0
Asa Branca I,BRA,Wind,2015.0
Asa Branca II,BRA,Wind,2015.0
Asa Branca III,BRA,Wind,2015.0
Asa Branca IV,BRA,Wind,2014.0
Asa Branca V,BRA,Wind,2014.0
Asa Branca VI,BRA,Wind,2014.0
Asa Branca VII,BRA,Wind,2014.0
Asa Branca VIII,BRA,Wind,2014.0
Asfor,BRA,Gas,1996.0
Aspebras Bahia,BRA,Oil,2013.0
Assembleia Paraense,BRA,Oil,2010.0
Assis Brasil - TECG,BRA,Oil,2016.0
Assis Chateaubriand(Antiga Salto Mimoso),BRA,Hydro,1969.0
Assuruá II,BRA,Wind,2016.0
Assuruá V,BRA,Wind,2016.0
Assuruá VII,BRA,Wind,2016.0
Atacadão Ipiranga,BRA,Oil,2013.0
Atacadão Jacui,BRA,Oil,2010.0
Atacadão Matriz,BRA,Oil,1985.0
Atacadão SA Brasilia,BRA,Oil,2008.0
Atacadão SA Cuiaba Porto,BRA,Oil,1986.0
Atacadão SA Taguatinga,BRA,Oil,2002.0
Atalaia do Norte,BRA,Oil,1994.0
Atlântica,BRA,Wind,2009.0
Atlântica I,BRA,Wind,2014.0
Atlântica II,BRA,Wind,2014.0
Atlântica IV,BRA,Wind,2014.0
Atlântica V,BRA,Wind,2013.0
Atos,BRA,Biomass,2014.0
Aura Mangueira XI,BRA,Wind,2017.0
Aura Mangueira XII,BRA,Wind,2017.0
Aura Mangueira XIII,BRA,Wind,2017.0
Aura Mangueira XV,BRA,Wind,2017.0
Aura Mirim IV,BRA,Wind,2017.0
Aureliano Chaves (Antiga Ibirité),BRA,Gas,2002.0
Autazes,BRA,Oil,1998.0
Autódromo,BRA,Hydro,2011.0
Açominas,BRA,Coal,2002.0
BASF ANC,BRA,Oil,1989.0
BASF DEM,BRA,Oil,1982.0
BASF IND,BRA,Oil,1993.0
BASF JAC,BRA,Oil,2000.0
BAXTER,BRA,Oil,2003.0
BEN Bioenergia,BRA,Biomass,2013.0
BENVETEX TEXTIL,BRA,Oil,2015.0
BIGFER FIXADORES,BRA,Oil,2010.0
BIGFER MATRIZ,BRA,Oil,2009.0
BOULEVARD BELÉM,BRA,Oil,2009.0
BSA SU,BRA,Oil,1975.0
BT LATAM - HORTOLANDIA,BRA,Oil,2001.0
Baguari,BRA,Hydro,2009.0
Bahia I - Camaçari,BRA,Oil,2002.0
Baixa do Feijão I,BRA,Wind,2016.0
Baixa do Feijão II,BRA,Wind,2016.0
Baixa do Feijão III,BRA,Wind,2016.0
Baixa do Feijão IV,BRA,Wind,2016.0
Baixada Fluminense,BRA,Gas,2014.0
Balbina,BRA,Hydro,1989.0
Baldin,BRA,Biomass,2010.0
Bambuí,BRA,Biomass,2014.0
Banda de Couro,BRA,Wind,2016.0
Bandeirante,BRA,Hydro,2012.0
Bandeirantes,BRA,Waste,2014.0
Bangu Shopping 2,BRA,Gas,2011.0
Baraúnas I,BRA,Wind,2015.0
Baraúnas II,BRA,Wind,2016.0
Barbosa Lima Sobrinho (Antiga Eletrobolt),BRA,Gas,2001.0
Barcelos,BRA,Oil,2002.0
Bariri (Álvaro de Souza Lima),BRA,Hydro,1969.0
Barra,BRA,Hydro,2001.0
Barra,BRA,Hydro,1986.0
Barra Bioenergia,BRA,Biomass,2010.0
Barra Bonita,BRA,Hydro,1963.0
Barra Escondida,BRA,Hydro,2009.0
Barra Grande,BRA,Hydro,2005.0
Barra Grande de Lençóis,BRA,Biomass,2003.0
Barra da Paciência,BRA,Hydro,2011.0
Barra do Braúna,BRA,Hydro,2009.0
Barra do Rio Chapéu,BRA,Hydro,2013.0
Barra dos Coqueiros,BRA,Hydro,2010.0
Barra dos Coqueiros,BRA,Wind,2012.0
Barralcool,BRA,Biomass,2002.0
Batalha (Antiga Paulista),BRA,Hydro,2014.0
Batista,BRA,Hydro,1912.0
Baturité,BRA,Oil,2002.0
Bazan,BRA,Biomass,2001.0
Baía Formosa,BRA,Biomass,2011.0
Bela União (Trincheira),BRA,Hydro,2015.0
Bela Vista,BRA,Biomass,1977.0
Belmonte,BRA,Hydro,2012.0
Belo Jardim,BRA,Oil,2012.0
Belo Monte,BRA,Hydro,2016.0
Bem Brasil,BRA,Biomass,2006.0
Bergamais,BRA,Oil,2012.0
Bergamini,BRA,Oil,2012.0
Bertussi,BRA,Hydro,2011.0
Biancogrês,BRA,Gas,2014.0
Bimbo,BRA,Oil,2009.0
Bimbo do Brasil,BRA,Oil,2010.0
Bio Alvorada,BRA,Biomass,2013.0
Bio Coopcana,BRA,Biomass,2013.0
Bioenergética Aroeira,BRA,Biomass,2014.0
Bioenergética Vale do Paracatu - BEVAP,BRA,Biomass,2011.0
Bioflex Caeté,BRA,Biomass,2014.0
Biolins,BRA,Biomass,2010.0
Biopav II,BRA,Biomass,2012.0
Biotérmica Recreio,BRA,Waste,2015.0
Blanver Cogeração,BRA,Gas,2015.0
Blue Tree Park Angra dos Reis,BRA,Oil,2001.0
Boa Esperança (Antiga Castelo Branco),BRA,Hydro,1970.0
Boa Fé,BRA,Hydro,2011.0
Boa Sorte,BRA,Hydro,2008.0
Boa Vista,BRA,Biomass,2008.0
Boa Vista II,BRA,Hydro,2002.0
Boa Vista do Ramos,BRA,Oil,2002.0
Boca do Acre,BRA,Oil,1998.0
Boca do Córrego,BRA,Wind,2014.0
Bocaiúva,BRA,Hydro,2010.0
Bom Jardim,BRA,Wind,2011.0
Bom Sucesso,BRA,Biomass,2013.0
Bompreço Fortaleza,BRA,Oil,1900.0
Bompreço Maceió,BRA,Oil,2013.0
Bompreço Passo Fundo,BRA,Oil,2013.0
Bonfante,BRA,Hydro,2008.0
Bons Ventos,BRA,Wind,2010.0
Boqueirão,BRA,Hydro,2013.0
Borgo,BRA,Wind,2016.0
Bortolo Carolo,BRA,Biomass,1994.0
Branco Peres,BRA,Biomass,2005.0
Brasil Verde,BRA,Coal,2003.0
Braskem PVC-AL,BRA,Gas,1990.0
Braço,BRA,Hydro,2011.0
Braço Norte III,BRA,Hydro,2003.0
Braço Norte IV,BRA,Hydro,2007.0
Braço Seco,BRA,Hydro,2006.0
Brecha,BRA,Hydro,1958.0
Brejauba,BRA,Hydro,2015.0
Brotas,BRA,Biomass,2013.0
Brumado,BRA,Oil,1977.0
Bruno Heidrich,BRA,Hydro,1984.0
Budai,BRA,Oil,2001.0
Buettner,BRA,Oil,2006.0
Bugres,BRA,Hydro,1952.0
Buricá,BRA,Hydro,2017.0
Buriti,BRA,Wind,2014.0
Buriti,BRA,Hydro,2007.0
Buriti,BRA,Biomass,2011.0
Buriti,BRA,Biomass,2004.0
Buritirana,BRA,Hydro,2008.0
Byk,BRA,Oil,2002.0
CAAL,BRA,Biomass,2012.0
CAE South,BRA,Oil,2011.0
CAMPINAS - 1,BRA,Oil,2010.0
CARBOFER,BRA,Oil,2013.0
CARGILL AGRICOLA SA CNPJ: 60.498.706/0130-54,BRA,Oil,2002.0
CAS-BC,BRA,Oil,1988.0
CATERPILLAR 2500KVA 3412 UNIDADE CAMPO DO MEIO,BRA,Oil,2001.0
CATIVA I,BRA,Biomass,2015.0
CATUAÍ MARINGÁ,BRA,Oil,2010.0
CD Cordeirópolis,BRA,Oil,2015.0
CECOL,BRA,Oil,2012.0
CEM (Antiga Camen),BRA,Biomass,2013.0
CENPES - Petrobrás,BRA,Gas,2011.0
CERÂMICA PORTO FERREIRA,BRA,Oil,2012.0
CEUMA - ASSOCIAÇÃO DE ENSINO SUPERIOR,BRA,Oil,2013.0
CIF Mineração,BRA,Oil,2014.0
CMPC (Antiga Aracruz Unidade Guaíba),BRA,Biomass,1971.0
CNH Alvorada do Oeste,BRA,Oil,2016.0
CNH Buritis,BRA,Oil,2016.0
CNH Campo Novo,BRA,Oil,2016.0
CNH Costa Marques,BRA,Oil,2016.0
CNH Cujubim,BRA,Oil,2016.0
CNH Distrito de Triunfo,BRA,Oil,2016.0
CNH Machadinho,BRA,Oil,2016.0
CNH Nova Califórnia,BRA,Oil,2016.0
CNH São Francisco,BRA,Oil,2016.0
CNH União Bandeirantes,BRA,Oil,2016.0
CNH Vale do Anari,BRA,Oil,2016.0
CNH Vila Extrema,BRA,Oil,2016.0
CNH Vista Alegre,BRA,Oil,2016.0
CNT,BRA,Oil,1997.0
COCAM CIA DE CAFÉ SOLÚVEL E DERIVADOS,BRA,Oil,2005.0
CONCESSIONARIA AEROPORTO RIO DE JANEIRO SA,BRA,Oil,2000.0
CONDOMINIO EDIFICIO SHOPPING PATIO MACEIO,BRA,Oil,2009.0
CONDOMINIO SAO CONRADO FASHION MALL,BRA,Oil,1982.0
CONDOMINIO VOLUNTARIO VIA VERDE SHOPPING CENTER,BRA,Oil,2011.0
COSIMAT,BRA,Oil,2008.0
CST,BRA,Oil,2003.0
CTA-MR,BRA,Oil,2015.0
CTE Fibra,BRA,Gas,1954.0
CTR Juiz de Fora,BRA,Waste,2013.0
Caa-Yari,BRA,Hydro,2005.0
Caapiranga,BRA,Gas,1985.0
Caarapó,BRA,Biomass,2010.0
Cabeça de Boi,BRA,Hydro,2016.0
Cabixi II,BRA,Hydro,2002.0
Cabo de Santo Agostinho,BRA,Oil,2001.0
Caboclo,BRA,Hydro,2014.0
Cabot Mauá,BRA,Oil,2010.0
Cabrera,BRA,Biomass,2009.0
Cachoeira Caldeirão,BRA,Hydro,2016.0
Cachoeira Dourada,BRA,Hydro,1959.0
Cachoeira Dourada,BRA,Biomass,2013.0
Cachoeira Paulista,BRA,Hydro,1976.0
Cachoeira Poço Preto I,BRA,Hydro,1964.0
Cachoeira da Lixa,BRA,Hydro,2008.0
Cachoeira do Brumado,BRA,Hydro,2010.0
Cachoeira do Lavrinha (Antiga São Patrício),BRA,Hydro,2004.0
Cachoeirinha,BRA,Hydro,2015.0
Cachoeirinha,BRA,Hydro,2007.0
Cachoeirão,BRA,Hydro,2008.0
Cacimbas 1,BRA,Wind,2016.0
Caconde,BRA,Hydro,1966.0
Cadam,BRA,Oil,1975.0
Caetité,BRA,Wind,2016.0
